"","user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
"25",38,"Bonita",8030,"d",60,"r4",NA,"r1","r1","r2","r3","r3","r3","r2","r1","r1","r4","r3","r3","r2","2015-12-12 12:00:36.929354","2015-12-12 12:17:29.372768",1,"2015-12-12 12:05:50.023672",40,11,"true","false","false",7,0,4,"r3","r4",11,10,1
"26",39,"Matakross",8902,"h",14,"r2",NA,"r1","r2","r4","r3","r1","r1","r2","r1","r1","r2","r3","r3","r1","2015-12-12 12:01:25.259162","2015-12-12 12:10:31.020800",1,"2015-12-12 12:02:57.458625",40,15,"true","false","false",6,0,6,"r1","r2",15,10,1
"27",40,"Caragato",8902,"h",38,"r3",NA,"r1","r1","r1","r3","r3","r1","r2","r2","r2","r2","r3","r3","r2","2015-12-12 12:02:01.777240","2015-12-12 12:15:23.704421",1,"2015-12-12 12:05:54.468482",40,33,"true","false","false",7,0,3,"r3","r3",33,10,1
"28",41,"Paco",8030,"h",65,"r2",NA,"r1","r2","r1","r2","r2","r3","r1","r1","r1","r2","r4","r3","r2","2015-12-12 12:02:17.869545","2015-12-12 12:18:34.007295",1,"2015-12-12 12:05:44.456717",40,17,"true","false","false",7,0,5,"r1","r2",17,10,1
"29",42,"CinfuefosXII",8017,"h",15,"r2",NA,"r1","r2","r4","r2","r1","r3","r1","r1","r2","r1","r4","r3","r1","2015-12-12 12:04:33.053604","2015-12-12 12:18:11.007459",1,"2015-12-12 12:05:45.306651",40,17,"true","false","false",7,0,6,"r2","r3",17,10,1
"30",43,"Bernip25",8030,"h",14,"r3",NA,"r1","r1","r1","r2","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 12:04:38.694537","2015-12-12 12:16:52.758334",1,"2015-12-12 12:08:22.604538",40,22,"true","false","false",7,0,1,"r1","r3",22,10,1
"33",50,"Betylula",28027,"d",35,"r6",NA,"r1","r1","r2","r3","r2","r2","r3","r1","r1","r2","r3","r3","r4","2015-12-12 12:23:15.432895","2015-12-12 12:40:59.012184",1,"2015-12-12 12:29:25.544958",40,27,"true","false","false",9,0,2,"r3","r3",27,10,1
"34",51,"Antoni M. R.",8338,"h",26,"r6",NA,"r1","r1","r1","r3","r3","r1","r1","r1","r2","r2","r1","r3","r2","2015-12-12 12:24:27.105405","2015-12-12 12:41:54.952811",1,"2015-12-12 12:29:44.727544",40,12,"true","false","false",9,0,5,"r1","r2",12,10,1
"35",52,"Supéralo pez",28027,"h",33,"r6",NA,"r1","r1","r1","r3","r1","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-12 12:24:37.740637","2015-12-12 12:41:21.098496",1,"2015-12-12 12:29:42.084473",40,23,"true","false","false",9,0,1,"r3","r4",23,10,1
"36",53,"Papons",8021,"h",41,"r6",NA,"r1","r2","r2","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 12:26:33.589304","2015-12-12 12:39:43.614868",1,"2015-12-12 12:29:44.577427",40,15,"true","false","false",9,0,3,"r1","r3",15,10,1
"37",54,"Turbonegra",9550,"d",30,"r6",NA,"r1","r1","r4","r2","r2","r1","r1","r2","r3","r2","r3","r3","r2","2015-12-12 12:28:03.213006","2015-12-12 12:38:59.057552",1,"2015-12-12 12:29:40.843864",40,23,"true","false","false",9,0,6,"r1","r3",23,10,1
