"","user_id","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","partida","SD"
"1086",115,4,4,2,4,3,4,3,2,1,0,2.7,19,1.41813649241218
"1201",122,4,3,3,3,2,2,3,2,3,0,2.5,21,1.08012344973464
"1202",123,4,3,3,3,2,2,4,0,0,0,2.1,21,1.59513148186739
"1203",124,3,3,4,2,4,1,2,4,3,2,2.8,21,1.03279555898864
"1204",125,2,4,3,1,3,2,2,2,1,1,2.1,21,0.994428926011753
"1205",127,1,2,3,1,3,0,1,2,1,0,1.4,21,1.07496769977314
"1206",128,2,3,2,3,2,1,2,1,1,0,1.7,21,0.948683298050514
"1321",134,1,2,2,3,4,3,2,2,4,3,2.6,23,0.966091783079296
"1322",135,4,4,4,4,4,4,4,4,0,0,3.2,23,1.68654808542314
"1323",136,2,4,4,3,2,3,3,3,0,1,2.5,23,1.26929551764398
"1324",137,4,4,3,2,4,2,3,4,4,4,3.4,23,0.843274042711568
"1325",138,2,2,3,2,2,3,4,4,4,4,3,23,0.942809041582063
"1326",139,2,3,4,4,4,4,4,1,4,4,3.4,23,1.07496769977314
"1441",143,2,2,2,2,2,2,2,2,2,2,2,25,0
"1442",147,3,2,4,2,3,4,2,1,0,0,2.1,25,1.44913767461894
"1443",148,3,3,3,3,3,3,3,0,0,0,2.1,25,1.44913767461894
"1444",149,2,2,4,4,4,4,4,0,4,4,3.2,25,1.3984117975602
"1445",151,2,3,3,4,3,3,2,1,0,0,2.1,25,1.3703203194063
"1446",152,4,4,4,3,2,2,3,0,0,0,2.2,25,1.68654808542314
"1561",158,3,2,2,4,2,2,2,4,4,4,2.9,27,0.994428926011753
"1562",159,3,0,4,3,1,4,4,4,2,2,2.7,27,1.41813649241218
"1563",160,2,3,3,2,3,3,1,4,4,4,2.9,27,0.994428926011753
"1564",161,2,2,2,2,2,2,3,2,0,1,1.8,27,0.788810637746616
"1565",162,2,3,1,4,2,4,1,2,0,0,1.9,27,1.44913767461894
"1566",163,4,4,4,2,2,2,2,2,0,0,2.2,27,1.47572957474524
"1741",176,4,4,2,4,4,4,4,4,0,0,3,30,1.69967317119759
"1742",177,2,2,2,4,2,2,0,0,0,0,1.4,30,1.34989711542111
"1743",178,2,2,4,4,2,4,2,2,0,0,2.2,30,1.47572957474524
"1744",179,4,0,4,2,4,4,2,2,0,0,2.2,30,1.75119007154183
"1745",181,4,4,2,4,2,2,2,0,0,0,2,30,1.63299316185545
"1746",182,2,4,4,2,4,2,2,0,2,2,2.4,30,1.26491106406735
"1861",185,4,2,2,0,2,0,0,2,0,0,1.2,32,1.3984117975602
"1862",189,4,4,4,2,4,4,2,4,4,0,3.2,32,1.3984117975602
"1863",190,2,4,2,2,4,2,2,2,2,0,2.2,32,1.13529242439509
"1864",191,4,4,4,4,2,0,2,2,2,0,2.4,32,1.57762127549323
"1865",192,2,4,0,4,4,0,2,0,2,2,2,32,1.63299316185545
"1866",193,2,4,2,0,2,4,0,2,4,2,2.2,32,1.47572957474524
"1981",197,4,2,2,2,4,2,2,0,0,0,1.8,34,1.47572957474524
"1982",198,2,2,2,4,4,4,0,0,0,4,2.2,34,1.75119007154183
"1983",201,4,2,4,4,2,4,4,2,0,2,2.8,34,1.3984117975602
"1984",202,2,4,2,2,0,4,0,0,2,2,1.8,34,1.47572957474524
"1985",204,2,4,2,2,0,2,2,0,0,2,1.6,34,1.26491106406735
"1986",205,4,2,4,2,4,2,2,4,2,2,2.8,34,1.03279555898864
"2101",210,4,2,2,0,4,4,2,4,0,0,2.2,36,1.75119007154183
"2102",211,4,2,0,2,2,4,2,2,2,2,2.2,36,1.13529242439509
"2103",214,2,4,0,2,2,4,2,0,0,0,1.6,36,1.57762127549323
"2104",215,2,4,4,4,2,2,2,0,0,0,2,36,1.63299316185545
"2105",216,4,4,4,2,4,4,4,2,0,0,2.8,36,1.68654808542314
"2106",217,2,4,4,0,2,4,2,0,0,0,1.8,36,1.75119007154183
"2221",223,2,2,2,2,2,2,2,4,2,2,2.2,38,0.632455532033676
"2222",225,4,4,4,4,4,2,2,4,4,2,3.4,38,0.966091783079296
"2223",226,2,2,0,2,2,0,0,2,0,0,1,38,1.05409255338946
"2224",227,2,2,2,2,0,2,2,2,2,0,1.6,38,0.843274042711568
"2225",229,2,2,0,4,2,2,0,2,2,2,1.8,38,1.13529242439509
"2226",231,2,0,2,4,2,4,4,3,3,3,2.7,38,1.25166555703457
"2341",234,4,2,4,2,0,2,0,2,0,0,1.6,40,1.57762127549323
"2342",235,2,4,2,4,2,4,2,0,2,0,2.2,40,1.47572957474524
"2343",238,2,2,4,0,2,2,2,2,0,2,1.8,40,1.13529242439509
"2344",239,4,4,4,2,4,2,4,2,0,2,2.8,40,1.3984117975602
"2345",240,4,4,4,2,2,4,4,2,4,2,3.2,40,1.03279555898864
"2346",241,2,2,2,2,2,2,2,2,0,0,1.6,40,0.843274042711568
"2461",248,2,0,2,0,2,0,2,2,2,0,1.2,42,1.03279555898864
"2462",249,2,4,2,4,0,4,4,4,4,4,3.2,42,1.3984117975602
"2463",250,2,0,0,0,2,2,2,4,2,2,1.6,42,1.26491106406735
"2464",251,2,4,0,2,4,4,2,4,4,4,3,42,1.4142135623731
"2465",253,2,0,0,0,2,2,2,4,2,4,1.8,42,1.47572957474524
"2466",255,2,4,2,2,0,2,0,2,2,4,2,42,1.33333333333333
"2581",260,4,2,2,4,2,2,0,2,2,0,2,44,1.33333333333333
"2582",261,0,2,0,4,0,2,2,4,4,4,2.2,44,1.75119007154183
"2583",262,2,0,2,2,4,0,2,0,2,4,1.8,44,1.47572957474524
"2584",263,2,2,4,2,2,0,4,2,2,0,2,44,1.33333333333333
"2585",264,2,4,2,0,4,2,2,2,4,2,2.4,44,1.26491106406735
"2586",266,2,2,2,2,2,2,2,2,2,2,2,44,0
"2701",272,2,4,4,4,4,4,4,2,2,0,3,46,1.4142135623731
"2702",273,2,2,4,0,2,4,2,4,4,2,2.6,46,1.34989711542111
"2703",274,4,4,4,4,4,4,2,2,2,2,3.2,46,1.03279555898864
"2704",275,2,0,2,0,2,2,0,4,2,0,1.4,46,1.34989711542111
"2705",276,2,2,2,0,2,2,0,2,2,0,1.4,46,0.966091783079296
"2706",277,4,2,0,0,0,2,0,2,0,0,1,46,1.4142135623731
"2761",278,2,2,2,4,2,4,2,4,0,0,2.2,47,1.47572957474524
"2762",279,4,2,2,4,2,2,2,2,0,0,2,47,1.33333333333333
"2763",280,2,4,4,2,2,4,2,2,0,0,2.2,47,1.47572957474524
"2764",281,2,2,2,2,2,2,2,2,0,0,1.6,47,0.843274042711568
"2765",282,2,4,2,2,4,2,4,4,2,4,3,47,1.05409255338946
"2766",283,2,2,4,2,4,2,2,2,0,0,2,47,1.33333333333333
"2821",284,2,2,2,4,2,4,2,0,0,0,1.8,48,1.47572957474524
"2822",285,4,2,4,4,4,0,2,0,0,0,2,48,1.88561808316413
"2823",286,2,4,4,4,2,2,2,0,2,0,2.2,48,1.47572957474524
"2824",287,4,2,2,4,4,4,0,0,0,2,2.2,48,1.75119007154183
"2825",288,4,0,4,0,4,0,2,0,0,0,1.4,48,1.89736659610103
"2826",290,4,4,4,4,4,4,2,0,2,0,2.8,48,1.68654808542314
"2941",295,2,2,4,2,2,2,2,2,0,2,2,50,0.942809041582063
"2942",297,4,4,2,4,2,4,2,0,2,2,2.6,50,1.34989711542111
"2943",298,4,4,4,4,4,2,4,4,0,0,3,50,1.69967317119759
"2944",299,2,4,0,4,0,2,0,4,0,0,1.6,50,1.83787316694536
"2945",300,2,4,4,2,2,2,2,2,2,2,2.4,50,0.843274042711568
"2946",301,4,4,4,4,2,0,0,0,0,0,1.8,50,1.98885785202351
"3181",320,4,4,4,4,4,0,0,0,0,0,2,54,2.10818510677892
"3182",321,2,3,2,2,2,2,2,3,3,2,2.3,54,0.483045891539648
"3183",322,2,2,2,2,1,1,1,1,1,2,1.5,54,0.52704627669473
"3184",323,0,0,2,4,4,2,2,1,1,2,1.8,54,1.3984117975602
"3185",324,3,2,4,3,3,2,2,1,1,2,2.3,54,0.948683298050514
"3186",325,2,2,4,4,2,3,3,2,0,0,2.2,54,1.3984117975602
