"id","num_partida","data_creacio","data_inicialitzacio","data_finalitzacio","estat","classe","num_rondes","ronda_actual","data_fi_ronda","usuaris_registrats","guanyen_igualment","diners_heterogenis","objectiu_aconseguit","comentari","partida_024"
33,33,"2015-12-13 10:30:12.857832","2015-12-13 10:39:59.367521","2015-12-13 10:43:25.718487","ACABADA","DAU",10,11,"2015-12-13 10:44:10.638978",6,0,1,1,"",1
34,34,"2015-12-13 10:40:12.623248","2015-12-13 10:47:00.870289","2015-12-13 10:51:20.155727","ACABADA","DAU",10,11,"2015-12-13 10:52:05.089235",6,0,0,1,"",1
35,35,"2015-12-13 10:51:53.548549","2015-12-13 10:59:59.936586","2015-12-13 11:03:43.032330","ACABADA","DAU",10,11,"2015-12-13 11:04:27.958896",6,0,1,1,"",1
36,36,"2015-12-13 11:00:11.666163","2015-12-13 11:10:10.955372","2015-12-13 11:14:14.399414","ACABADA","DAU",10,11,"2015-12-13 11:14:59.323867",6,0,0,1,"",1
37,37,"2015-12-13 11:10:13.808999","2015-12-13 11:17:50.922144","2015-12-13 11:21:59.328730","ACABADA","DAU",10,11,"2015-12-13 11:22:44.265887",6,1,1,1,"",1
38,38,"2015-12-13 11:18:22.763383","2015-12-13 11:33:38.701788","2015-12-13 11:38:37.048558","ACABADA","DAU",10,11,"2015-12-13 11:39:21.963955",6,0,0,1,"",1
39,39,"2015-12-13 11:33:51.186462","2015-12-13 11:40:09.084411","2015-12-13 11:44:01.484504","ACABADA","DAU",10,11,"2015-12-13 11:44:46.417618",6,0,1,1,"",1
40,40,"2015-12-13 11:40:30.274231","2015-12-13 11:48:05.015949","2015-12-13 11:51:36.175350","ACABADA","DAU",10,11,"2015-12-13 11:52:21.044455",6,0,0,1,"",1
41,41,"2015-12-13 11:48:38.353443","2015-12-13 11:54:50.453878","2015-12-13 11:59:14.942338","ACABADA","DAU",10,11,"2015-12-13 11:59:59.869932",6,0,1,1,"PARTIDA IMPERIAL",1
42,42,"2015-12-13 11:55:14.306049","2015-12-13 12:03:51.922445","2015-12-13 12:08:56.326080","ACABADA","DAU",10,11,"2015-12-13 12:09:41.242259",6,0,0,1,"",1
