"id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
70,10,0,-2,"2015-12-12 12:12:39.232787","2015-12-12 12:12:45.960206",7,1
71,1,120,106,"2015-12-12 12:27:15.229100","2015-12-12 12:27:25.317772",8,1
72,2,106,92,"2015-12-12 12:27:40.317772","2015-12-12 12:27:47.805897",8,1
73,3,92,77,"2015-12-12 12:28:02.805897","2015-12-12 12:28:07.272858",8,1
74,4,77,60,"2015-12-12 12:28:22.272858","2015-12-12 12:28:30.445952",8,1
75,5,60,41,"2015-12-12 12:28:45.445952","2015-12-12 12:28:51.197560",8,1
76,6,41,30,"2015-12-12 12:29:06.197560","2015-12-12 12:29:14.679747",8,1
77,7,30,17,"2015-12-12 12:29:29.679747","2015-12-12 12:29:37.870495",8,1
78,8,17,2,"2015-12-12 12:29:52.870495","2015-12-12 12:29:59.494651",8,1
79,9,2,-10,"2015-12-12 12:30:14.494651","2015-12-12 12:30:18.500366",8,1
80,10,-10,-25,"2015-12-12 12:30:33.500366","2015-12-12 12:30:40.005040",8,1
81,1,120,102,"2015-12-12 12:33:46.187910","2015-12-12 12:33:53.833779",9,1
82,2,102,85,"2015-12-12 12:34:08.833779","2015-12-12 12:34:16.317993",9,1
83,3,85,71,"2015-12-12 12:34:31.317993","2015-12-12 12:34:36.158645",9,1
84,4,71,57,"2015-12-12 12:34:51.158645","2015-12-12 12:35:01.062499",9,1
85,5,57,41,"2015-12-12 12:35:16.062499","2015-12-12 12:35:19.518049",9,1
86,6,41,24,"2015-12-12 12:35:34.518049","2015-12-12 12:35:41.894398",9,1
87,7,24,15,"2015-12-12 12:35:56.894398","2015-12-12 12:35:59.978254",9,1
88,8,15,6,"2015-12-12 12:36:14.978254","2015-12-12 12:36:20.954985",9,1
89,9,6,-2,"2015-12-12 12:36:35.954985","2015-12-12 12:36:40.434211",9,1
90,10,-2,-9,"2015-12-12 12:36:55.434211","2015-12-12 12:37:03.823219",9,1
91,1,120,105,"2015-12-12 12:47:52.751857","2015-12-12 12:47:59.028451",10,1
92,2,105,89,"2015-12-12 12:48:14.028451","2015-12-12 12:48:24.987507",10,1
93,3,89,75,"2015-12-12 12:48:39.987507","2015-12-12 12:48:49.992831",10,1
94,4,75,63,"2015-12-12 12:49:04.992831","2015-12-12 12:49:13.838754",10,1
95,5,63,52,"2015-12-12 12:49:28.838754","2015-12-12 12:49:41.294451",10,1
96,6,52,43,"2015-12-12 12:49:56.294451","2015-12-12 12:50:02.326462",10,1
97,7,43,33,"2015-12-12 12:50:17.326462","2015-12-12 12:50:23.981711",10,1
98,8,33,17,"2015-12-12 12:50:38.981711","2015-12-12 12:50:48.040373",10,1
99,9,17,2,"2015-12-12 12:51:03.040373","2015-12-12 12:51:08.821598",10,1
100,10,2,-4,"2015-12-12 12:51:23.821598","2015-12-12 12:51:37.630558",10,1
101,1,120,107,"2015-12-12 13:01:29.768779","2015-12-12 13:01:46.630809",11,1
102,2,107,90,"2015-12-12 13:02:01.630809","2015-12-12 13:02:11.810683",11,1
103,3,90,74,"2015-12-12 13:02:26.810683","2015-12-12 13:02:33.835881",11,1
104,4,74,58,"2015-12-12 13:02:48.835881","2015-12-12 13:02:57.271249",11,1
105,5,58,44,"2015-12-12 13:03:12.271249","2015-12-12 13:03:18.172520",11,1
106,6,44,30,"2015-12-12 13:03:33.172520","2015-12-12 13:03:40.570757",11,1
107,7,30,18,"2015-12-12 13:03:55.570757","2015-12-12 13:04:00.035598",11,1
108,8,18,3,"2015-12-12 13:04:15.035598","2015-12-12 13:04:21.011453",11,1
109,9,3,-2,"2015-12-12 13:04:36.011453","2015-12-12 13:04:42.439627",11,1
110,10,-2,-3,"2015-12-12 13:04:57.439627","2015-12-12 13:05:03.111064",11,1
111,1,120,101,"2015-12-12 13:12:26.843225","2015-12-12 13:12:40.435480",12,1
112,2,101,81,"2015-12-12 13:12:55.435480","2015-12-12 13:13:06.200491",12,1
113,3,81,61,"2015-12-12 13:13:21.200491","2015-12-12 13:13:30.590792",12,1
114,4,61,44,"2015-12-12 13:13:45.590792","2015-12-12 13:13:50.604843",12,1
115,5,44,26,"2015-12-12 13:14:05.604843","2015-12-12 13:14:10.123146",12,1
116,6,26,9,"2015-12-12 13:14:25.123146","2015-12-12 13:14:33.805507",12,1
117,7,9,-4,"2015-12-12 13:14:48.805507","2015-12-12 13:14:52.440988",12,1
118,8,-4,-8,"2015-12-12 13:15:07.440988","2015-12-12 13:15:11.053788",12,1
119,9,-8,-9,"2015-12-12 13:15:26.053788","2015-12-12 13:15:29.938627",12,1
120,10,-9,-13,"2015-12-12 13:15:44.938627","2015-12-12 13:15:47.190481",12,1
121,1,120,103,"2015-12-12 15:30:01.153083","2015-12-12 15:30:07.231577",13,1
122,2,103,82,"2015-12-12 15:30:22.231577","2015-12-12 15:30:30.834039",13,1
123,3,82,63,"2015-12-12 15:30:45.834039","2015-12-12 15:30:50.631527",13,1
124,4,63,41,"2015-12-12 15:31:05.631527","2015-12-12 15:31:09.680368",13,1
125,5,41,23,"2015-12-12 15:31:24.680368","2015-12-12 15:31:28.557842",13,1
126,6,23,10,"2015-12-12 15:31:43.557842","2015-12-12 15:31:47.881559",13,1
127,7,10,2,"2015-12-12 15:32:02.881559","2015-12-12 15:32:05.932232",13,1
128,8,2,0,"2015-12-12 15:32:20.932232","2015-12-12 15:32:23.594058",13,1
129,9,0,-4,"2015-12-12 15:32:38.594058","2015-12-12 15:32:42.790205",13,1
130,10,-4,-9,"2015-12-12 15:32:57.790205","2015-12-12 15:33:02.072199",13,1
131,1,120,106,"2015-12-12 15:39:32.860196","2015-12-12 15:39:40.929611",14,1
132,2,106,94,"2015-12-12 15:39:55.929611","2015-12-12 15:40:06.804930",14,1
133,3,94,83,"2015-12-12 15:40:21.804930","2015-12-12 15:40:29.345418",14,1
134,4,83,67,"2015-12-12 15:40:44.345418","2015-12-12 15:40:50.035582",14,1
135,5,67,53,"2015-12-12 15:41:05.035582","2015-12-12 15:41:26.529075",14,1
136,6,53,40,"2015-12-12 15:41:41.529075","2015-12-12 15:41:46.700566",14,1
137,7,40,26,"2015-12-12 15:42:01.700566","2015-12-12 15:42:07.574268",14,1
138,8,26,10,"2015-12-12 15:42:22.574268","2015-12-12 15:42:29.890227",14,1
139,9,10,1,"2015-12-12 15:42:44.890227","2015-12-12 15:42:51.042864",14,1
140,10,1,-6,"2015-12-12 15:43:06.042864","2015-12-12 15:43:08.656703",14,1
141,1,120,106,"2015-12-12 15:42:42.198218","2015-12-12 15:43:03.413453",15,1
142,2,106,87,"2015-12-12 15:43:18.413453","2015-12-12 15:43:27.929658",15,1
143,3,87,69,"2015-12-12 15:43:42.929658","2015-12-12 15:43:52.319452",15,1
144,4,69,61,"2015-12-12 15:44:07.319452","2015-12-12 15:44:12.930936",15,1
145,5,61,47,"2015-12-12 15:44:27.930936","2015-12-12 15:44:34.947755",15,1
146,6,47,34,"2015-12-12 15:44:49.947755","2015-12-12 15:44:58.128985",15,1
147,7,34,25,"2015-12-12 15:45:13.128985","2015-12-12 15:45:16.564860",15,1
148,8,25,14,"2015-12-12 15:45:31.564860","2015-12-12 15:45:37.532234",15,1
149,9,14,3,"2015-12-12 15:45:52.532234","2015-12-12 15:45:56.810887",15,1
150,10,3,-2,"2015-12-12 15:46:11.810887","2015-12-12 15:46:14.948893",15,1
151,1,120,110,"2015-12-12 15:47:09.809137","2015-12-12 15:47:21.796484",16,1
152,2,110,95,"2015-12-12 15:47:36.796484","2015-12-12 15:47:47.394271",16,1
153,3,95,81,"2015-12-12 15:48:02.394271","2015-12-12 15:48:06.937554",16,1
154,4,81,72,"2015-12-12 15:48:21.937554","2015-12-12 15:48:29.241106",16,1
155,5,72,62,"2015-12-12 15:48:44.241106","2015-12-12 15:48:52.096187",16,1
156,6,62,46,"2015-12-12 15:49:07.096187","2015-12-12 15:49:11.460447",16,1
157,7,46,37,"2015-12-12 15:49:26.460447","2015-12-12 15:49:34.835945",16,1
158,8,37,19,"2015-12-12 15:49:49.835945","2015-12-12 15:49:53.739665",16,1
159,9,19,5,"2015-12-12 15:50:08.739665","2015-12-12 15:50:33.912953",16,1
160,10,5,-6,"2015-12-12 15:50:48.912953","2015-12-12 15:50:55.563785",16,1
161,1,120,101,"2015-12-12 15:54:01.497782","2015-12-12 15:54:13.812186",17,1
162,2,101,86,"2015-12-12 15:54:28.812186","2015-12-12 15:54:37.442883",17,1
163,3,86,71,"2015-12-12 15:54:52.442883","2015-12-12 15:54:58.995173",17,1
164,4,71,61,"2015-12-12 15:55:13.995173","2015-12-12 15:55:21.896697",17,1
165,5,61,48,"2015-12-12 15:55:36.896697","2015-12-12 15:55:42.354931",17,1
166,6,48,38,"2015-12-12 15:55:57.354931","2015-12-12 15:56:01.305123",17,1
167,7,38,20,"2015-12-12 15:56:16.305123","2015-12-12 15:56:19.769463",17,1
168,8,20,10,"2015-12-12 15:56:34.769463","2015-12-12 15:56:39.151088",17,1
169,9,10,-3,"2015-12-12 15:56:54.151088","2015-12-12 15:57:00.253013",17,1
170,10,-3,-7,"2015-12-12 15:57:15.253013","2015-12-12 15:57:22.734104",17,1
171,1,120,105,"2015-12-12 16:09:32.173630","2015-12-12 16:09:43.879457",18,1
172,2,105,86,"2015-12-12 16:09:58.879457","2015-12-12 16:10:06.268443",18,1
173,3,86,67,"2015-12-12 16:10:21.268443","2015-12-12 16:10:33.086543",18,1
174,4,67,50,"2015-12-12 16:10:48.086543","2015-12-12 16:10:55.994707",18,1
175,5,50,35,"2015-12-12 16:11:10.994707","2015-12-12 16:11:13.287876",18,1
176,6,35,19,"2015-12-12 16:11:28.287876","2015-12-12 16:11:32.083575",18,1
177,7,19,7,"2015-12-12 16:11:47.083575","2015-12-12 16:11:50.683926",18,1
178,8,7,-5,"2015-12-12 16:12:05.683926","2015-12-12 16:12:08.840816",18,1
179,9,-5,-21,"2015-12-12 16:12:23.840816","2015-12-12 16:12:30.774734",18,1
180,10,-21,-31,"2015-12-12 16:12:45.774734","2015-12-12 16:13:15.881153",18,1
181,1,120,103,"2015-12-12 16:32:37.489483","2015-12-12 16:32:44.389045",19,1
182,2,103,82,"2015-12-12 16:32:59.389045","2015-12-12 16:33:06.551388",19,1
183,3,82,65,"2015-12-12 16:33:21.551388","2015-12-12 16:33:28.815239",19,1
184,4,65,45,"2015-12-12 16:33:43.815239","2015-12-12 16:33:51.287827",19,1
185,5,45,30,"2015-12-12 16:34:06.287827","2015-12-12 16:34:12.388693",19,1
186,6,30,14,"2015-12-12 16:34:27.388693","2015-12-12 16:34:32.462364",19,1
187,7,14,7,"2015-12-12 16:34:47.462364","2015-12-12 16:34:54.900348",19,1
188,8,7,3,"2015-12-12 16:35:09.900348","2015-12-12 16:35:16.998206",19,1
189,9,3,-4,"2015-12-12 16:35:31.998206","2015-12-12 16:35:39.549066",19,1
190,10,-4,-4,"2015-12-12 16:35:54.549066","2015-12-12 16:36:00.852924",19,1
191,1,120,100,"2015-12-12 16:47:23.945949","2015-12-12 16:47:34.754358",20,1
192,2,100,85,"2015-12-12 16:47:49.754358","2015-12-12 16:48:00.074549",20,1
193,3,85,70,"2015-12-12 16:48:15.074549","2015-12-12 16:48:22.705286",20,1
194,4,70,56,"2015-12-12 16:48:37.705286","2015-12-12 16:48:43.139686",20,1
195,5,56,42,"2015-12-12 16:48:58.139686","2015-12-12 16:49:04.309954",20,1
196,6,42,30,"2015-12-12 16:49:19.309954","2015-12-12 16:49:23.878377",20,1
197,7,30,17,"2015-12-12 16:49:38.878377","2015-12-12 16:49:43.933831",20,1
198,8,17,12,"2015-12-12 16:49:58.933831","2015-12-12 16:50:05.193276",20,1
199,9,12,2,"2015-12-12 16:50:20.193276","2015-12-12 16:50:23.833552",20,1
200,10,2,-4,"2015-12-12 16:50:38.833552","2015-12-12 16:50:55.274736",20,1
201,1,120,104,"2015-12-12 16:54:05.013551","2015-12-12 16:54:16.699828",21,1
202,2,104,86,"2015-12-12 16:54:31.699828","2015-12-12 16:54:42.817379",21,1
203,3,86,68,"2015-12-12 16:54:57.817379","2015-12-12 16:55:03.759990",21,1
204,4,68,55,"2015-12-12 16:55:18.759990","2015-12-12 16:55:34.194171",21,1
205,5,55,39,"2015-12-12 16:55:49.194171","2015-12-12 16:55:56.157336",21,1
206,6,39,31,"2015-12-12 16:56:11.157336","2015-12-12 16:56:16.702836",21,1
207,7,31,17,"2015-12-12 16:56:31.702836","2015-12-12 16:56:36.515826",21,1
208,8,17,6,"2015-12-12 16:56:51.515826","2015-12-12 16:56:57.400203",21,1
209,9,6,-3,"2015-12-12 16:57:12.400203","2015-12-12 16:57:15.484757",21,1
210,10,-3,-6,"2015-12-12 16:57:30.484757","2015-12-12 16:57:34.155917",21,1
211,1,120,103,"2015-12-12 17:08:39.394292","2015-12-12 17:08:49.758461",22,1
212,2,103,90,"2015-12-12 17:09:04.758461","2015-12-12 17:09:11.995623",22,1
213,3,90,79,"2015-12-12 17:09:26.995623","2015-12-12 17:09:35.896803",22,1
214,4,79,66,"2015-12-12 17:09:50.896803","2015-12-12 17:09:56.844442",22,1
215,5,66,54,"2015-12-12 17:10:11.844442","2015-12-12 17:10:20.265839",22,1
216,6,54,37,"2015-12-12 17:10:35.265839","2015-12-12 17:10:42.459929",22,1
217,7,37,27,"2015-12-12 17:10:57.459929","2015-12-12 17:11:03.740805",22,1
218,8,27,13,"2015-12-12 17:11:18.740805","2015-12-12 17:11:29.384720",22,1
219,9,13,3,"2015-12-12 17:11:44.384720","2015-12-12 17:11:47.405282",22,1
220,10,3,-8,"2015-12-12 17:12:02.405282","2015-12-12 17:12:07.642145",22,1
221,1,120,105,"2015-12-12 17:19:08.215938","2015-12-12 17:19:25.190417",23,1
222,2,105,86,"2015-12-12 17:19:40.190417","2015-12-12 17:19:58.753006",23,1
223,3,86,66,"2015-12-12 17:20:13.753006","2015-12-12 17:20:29.694138",23,1
224,4,66,48,"2015-12-12 17:20:44.694138","2015-12-12 17:21:01.392471",23,1
225,5,48,28,"2015-12-12 17:21:16.392471","2015-12-12 17:21:37.483479",23,1
