"id","ha_seleccionat","seleccio","temps_seleccio","ronda_id","user_id"
103,1,2,"2015-12-12 11:20:00.630468",18,5
104,1,0,"2015-12-12 11:20:00.428017",18,9
105,1,1,"2015-12-12 11:19:57.598019",18,10
106,1,3,"2015-12-12 11:19:58.445044",18,11
107,1,3,"2015-12-12 11:19:58.619537",18,12
108,1,3,"2015-12-12 11:19:58.003143",18,14
109,1,4,"2015-12-12 11:20:18.159205",19,5
110,1,2,"2015-12-12 11:20:20.430744",19,9
111,1,2,"2015-12-12 11:20:17.798280",19,10
112,1,4,"2015-12-12 11:20:19.643830",19,11
113,1,4,"2015-12-12 11:20:18.593341",19,12
114,1,2,"2015-12-12 11:20:18.354087",19,14
115,1,0,"2015-12-12 11:20:41.416239",20,5
116,1,1,"2015-12-12 11:20:38.210808",20,9
117,1,2,"2015-12-12 11:20:37.667551",20,10
118,1,4,"2015-12-12 11:20:37.578939",20,11
119,1,3,"2015-12-12 11:20:37.026494",20,12
120,1,0,"2015-12-12 11:20:37.117034",20,14
121,1,4,"2015-12-12 11:25:58.414512",21,13
122,1,2,"2015-12-12 11:25:58.880189",21,15
123,1,3,"2015-12-12 11:25:58.278455",21,16
124,1,2,"2015-12-12 11:25:59.917001",21,17
125,1,2,"2015-12-12 11:26:01.650296",21,18
126,1,4,"2015-12-12 11:25:56.600631",21,19
127,1,4,"2015-12-12 11:26:29.184444",22,13
128,1,1,"2015-12-12 11:26:24.103833",22,15
129,1,2,"2015-12-12 11:26:21.331519",22,16
130,1,2,"2015-12-12 11:26:21.656451",22,17
131,1,2,"2015-12-12 11:26:24.356151",22,18
132,1,4,"2015-12-12 11:26:19.945769",22,19
133,1,4,"2015-12-12 11:26:48.887509",23,13
134,1,3,"2015-12-12 11:26:47.085555",23,15
135,1,3,"2015-12-12 11:26:45.607983",23,16
136,1,2,"2015-12-12 11:26:48.074742",23,17
137,1,3,"2015-12-12 11:26:47.054734",23,18
138,1,3,"2015-12-12 11:26:47.017391",23,19
139,1,4,"2015-12-12 11:27:13.913064",24,13
140,1,3,"2015-12-12 11:27:06.697204",24,15
141,1,4,"2015-12-12 11:27:07.132799",24,16
142,1,3,"2015-12-12 11:27:06.673595",24,17
143,1,3,"2015-12-12 11:27:06.717833",24,18
144,1,4,"2015-12-12 11:27:05.895572",24,19
145,1,4,"2015-12-12 11:27:31.318528",25,13
146,1,4,"2015-12-12 11:27:31.965790",25,15
147,1,3,"2015-12-12 11:27:31.069139",25,16
148,1,1,"2015-12-12 11:27:32.009396",25,17
149,1,4,"2015-12-12 11:27:31.541359",25,18
150,1,2,"2015-12-12 11:27:33.757504",25,19
151,1,4,"2015-12-12 11:27:54.562219",26,13
152,1,3,"2015-12-12 11:27:56.237395",26,15
153,1,4,"2015-12-12 11:27:50.770789",26,16
154,1,2,"2015-12-12 11:27:52.710326",26,17
155,1,2,"2015-12-12 11:27:54.585044",26,18
156,1,3,"2015-12-12 11:27:51.157022",26,19
157,1,4,"2015-12-12 11:28:13.007604",27,13
158,1,1,"2015-12-12 11:28:15.302992",27,15
159,1,4,"2015-12-12 11:28:12.636566",27,16
160,1,2,"2015-12-12 11:28:14.100085",27,17
161,1,2,"2015-12-12 11:28:15.635498",27,18
162,1,1,"2015-12-12 11:28:13.471920",27,19
163,1,1,"2015-12-12 11:28:39.633518",28,13
164,1,1,"2015-12-12 11:28:36.189092",28,15
165,1,2,"2015-12-12 11:28:34.885596",28,16
166,1,1,"2015-12-12 11:28:33.460156",28,17
167,1,2,"2015-12-12 11:28:33.766875",28,18
168,1,0,"2015-12-12 11:28:34.228971",28,19
169,1,1,"2015-12-12 11:29:05.081871",29,13
170,1,1,"2015-12-12 11:28:57.716184",29,15
171,1,1,"2015-12-12 11:28:57.202829",29,16
172,1,0,"2015-12-12 11:28:58.833629",29,17
173,1,3,"2015-12-12 11:28:57.695171",29,18
174,1,4,"2015-12-12 11:28:58.660030",29,19
175,1,0,"2015-12-12 11:29:22.180778",30,13
176,1,0,"2015-12-12 11:29:24.719849",30,15
177,1,3,"2015-12-12 11:29:21.888963",30,16
178,1,0,"2015-12-12 11:29:23.877910",30,17
179,1,2,"2015-12-12 11:29:22.511020",30,18
180,1,0,"2015-12-12 11:29:21.279740",30,19
181,1,1,"2015-12-12 11:42:03.531530",31,20
182,1,2,"2015-12-12 11:42:05.048545",31,21
183,1,2,"2015-12-12 11:42:05.663528",31,22
184,1,2,"2015-12-12 11:42:18.064664",31,23
185,1,2,"2015-12-12 11:42:14.094659",31,24
186,1,2,"2015-12-12 11:42:03.640709",31,25
187,1,2,"2015-12-12 11:42:39.594512",32,20
188,1,2,"2015-12-12 11:42:35.419068",32,21
189,1,4,"2015-12-12 11:42:36.471269",32,22
190,1,3,"2015-12-12 11:42:38.147738",32,23
191,1,3,"2015-12-12 11:42:43.342654",32,24
192,1,4,"2015-12-12 11:42:35.310050",32,25
193,1,3,"2015-12-12 11:43:01.235599",33,20
194,1,3,"2015-12-12 11:43:00.164749",33,21
195,1,3,"2015-12-12 11:43:06.565722",33,22
196,1,4,"2015-12-12 11:43:06.765808",33,23
197,1,1,"2015-12-12 11:43:02.797195",33,24
